country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Nepal,2.0,5.0,6.0,5.0,4.0,7.0,-5.0,1.0,7.0,4.0,2.0,2.0,6.0,8.0,4.0,7.0,6.0,2.0,5.0,7.0,10.0,-2.0,5.0,-6.0,-5.0,2.0,2.0,-2.0,-5.0,0.0,0.0,-2.0,2.0,4.0,3.0,-2.0,-8.0,-25.0,-63.0,-70.0,-73.0,-73.0,-72.0,-74.0,-73.0,-73.0,-72.0,-73.0,-72.0,-71.0,-73.0,-72.0,-71.0,-71.0,-71.0,-70.0,-71.0,-69.0,-69.0,-72.0,-72.0,-73.0,-72.0,-74.0,-73.0,-71.0,-73.0,-68.0,-67.0,-70.0,-71.0,-69.0,-68.0,-67.0,-65.0,-65.0,-69.0,-67.0,-66.0,-67.0,-66.0,-61.0,-63.0,-57.0,-58.0,-57.0,-53.0,-52.0,-57.0
Netherlands,72.0,-44.0,-84.0,-89.0,-91.0,-99.0,4.0,229.0,105.0,-53.0,-43.0,-94.0,-112.0,-49.0,28.0,62.0,-24.0,-26.0,-16.0,-54.0,-2.0,95.0,-14.0,-37.0,-80.0,-97.0,-136.0,-312.0,-306.0,-381.0,-626.0,-697.0,-712.0,-779.0,-777.0,-658.0,-689.0,-832.0,-834.0,-818.0,-845.0,-815.0,-735.0,-836.0,-862.0,-822.0,-823.0,-862.0,-833.0,-675.0,-592.0,-797.0,-769.0,-735.0,-774.0,-764.0,-584.0,-613.0,-953.0,-810.0,-742.0,-755.0,-745.0,-645.0,-554.0,-756.0,-765.0,-710.0,-710.0,-709.0,-568.0,-487.0,-784.0,-788.0,-727.0,-759.0,-755.0,-618.0,-491.0,-733.0,-770.0,-648.0,-680.0,-622.0,-388.0,-509.0,-713.0,-697.0,-678.0
New Zealand,40.0,50.0,116.0,106.0,116.0,125.0,90.0,-29.0,11.0,103.0,69.0,91.0,108.0,108.0,-20.0,110.0,78.0,64.0,41.0,78.0,65.0,-21.0,47.0,67.0,28.0,48.0,34.0,28.0,-81.0,-25.0,-35.0,-121.0,-121.0,-168.0,-226.0,-358.0,-396.0,-346.0,-428.0,-572.0,-880.0,-909.0,-856.0,-597.0,-850.0,-916.0,-907.0,-911.0,-924.0,-666.0,-837.0,-909.0,-913.0,-914.0,-1000.0,-885.0,-732.0,-761.0,-880.0,-933.0,-924.0,-834.0,-940.0,-930.0,-754.0,-909.0,-970.0,-966.0,-990.0,-987.0,-818.0,-973.0,-843.0,-820.0,-819.0,-772.0,-776.0,-712.0,-823.0,-802.0,-789.0,-754.0,-788.0,-728.0,-773.0,-810.0,-787.0,-764.0,-695.0
Nicaragua,1.0,1.0,1.0,-1.0,-2.0,2.0,2.0,-1.0,-3.0,0.0,-3.0,-2.0,-3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,-2.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,-3.0,-4.0,-9.0,-14.0,-26.0,-33.0,-24.0,-27.0,-27.0,-28.0,-30.0,-34.0,-38.0,-29.0,-28.0,-26.0,-25.0,-23.0,-28.0,-35.0,-30.0,-31.0,-27.0,-50.0,-63.0,-53.0,-48.0,-34.0,-33.0,-28.0,-26.0,-27.0,-29.0,-34.0,-24.0,-25.0,-25.0,-25.0,-24.0,-27.0,-35.0,-27.0,-25.0,-24.0,-16.0,-36.0,-29.0,-35.0,-24.0,-25.0,-23.0,-24.0,-26.0,-34.0,-41.0,-32.0,-33.0,-35.0
Niger,4.0,4.0,1.0,3.0,-1.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,8.0,8.0,10.0,4.0,3.0,6.0,3.0,1.0,-2.0,3.0,6.0,4.0,7.0,7.0,4.0,1.0,4.0,2.0,-3.0,-1.0,3.0,0.0,-4.0,-11.0,-23.0,-24.0,-22.0,-22.0,-29.0,-29.0,-30.0,-25.0,-28.0,-24.0,-32.0,-31.0,-35.0,-33.0,-30.0,-34.0,-29.0,-31.0,-30.0,-32.0,-35.0,-36.0,-40.0,-29.0,-31.0,-32.0,-34.0,-35.0,-33.0,-31.0,-28.0,-29.0,-22.0,-42.0,-37.0,-37.0,-37.0,-36.0,-36.0,-34.0,-44.0,-39.0,-39.0,-40.0,-39.0,-38.0,-30.0,-38.0,-39.0,-35.0,-37.0,-31.0,-30.0
Nigeria,17.0,7.0,17.0,3.0,-64.0,-19.0,-47.0,-56.0,-103.0,-91.0,-60.0,-44.0,0.0,-57.0,-92.0,-30.0,-69.0,-80.0,-54.0,14.0,-12.0,26.0,-32.0,20.0,-3.0,-74.0,-39.0,-24.0,-46.0,-117.0,-72.0,-82.0,-82.0,-68.0,-105.0,-119.0,-180.0,-215.0,-259.0,-314.0,-346.0,-504.0,-763.0,-740.0,-721.0,-916.0,-1025.0,-954.0,-955.0,-1012.0,-910.0,-1032.0,-969.0,-1036.0,-992.0,-1036.0,-1001.0,-976.0,-1166.0,-1101.0,-1004.0,-957.0,-1021.0,-1085.0,-1130.0,-1126.0,-1174.0,-1166.0,-1136.0,-1144.0,-1139.0,-1089.0,-1177.0,-1174.0,-1122.0,-1116.0,-1053.0,-1080.0,-1165.0,-931.0,-1010.0,-961.0,-987.0,-939.0,-977.0,-1103.0,-904.0,-968.0,-927.0
North Macedonia,0.0,5.0,10.0,7.0,5.0,-1.0,5.0,0.0,3.0,7.0,5.0,5.0,-3.0,-6.0,-5.0,6.0,8.0,4.0,2.0,9.0,5.0,-9.0,4.0,2.0,-1.0,-11.0,-15.0,-24.0,-30.0,-48.0,-34.0,-40.0,-43.0,-48.0,-53.0,-56.0,-64.0,-64.0,-64.0,-64.0,-65.0,-64.0,-73.0,-69.0,-55.0,-60.0,-67.0,-60.0,-60.0,-74.0,-75.0,-55.0,-50.0,-63.0,-60.0,-59.0,-93.0,-92.0,-53.0,-60.0,-59.0,-54.0,-58.0,-92.0,-91.0,-93.0,-62.0,-62.0,-49.0,-52.0,-60.0,-91.0,-46.0,-47.0,-48.0,-43.0,-72.0,-73.0,-67.0,-45.0,-43.0,-51.0,-45.0,-45.0,-43.0,-46.0,-42.0,-43.0,-44.0
Norway,146.0,-15.0,-10.0,-15.0,50.0,-20.0,7.0,77.0,115.0,89.0,53.0,60.0,59.0,71.0,93.0,49.0,44.0,26.0,55.0,84.0,67.0,98.0,-27.0,25.0,-45.0,-70.0,-155.0,-390.0,-358.0,-589.0,-535.0,-604.0,-637.0,-640.0,-652.0,-489.0,-702.0,-664.0,-671.0,-667.0,-641.0,-675.0,-608.0,-726.0,-608.0,-600.0,-609.0,-658.0,-622.0,-530.0,-626.0,-527.0,-493.0,-587.0,-698.0,-721.0,-615.0,-667.0,-724.0,-569.0,-563.0,-544.0,-521.0,-339.0,-406.0,-406.0,-363.0,-395.0,-418.0,-472.0,-323.0,-446.0,-425.0,-379.0,-365.0,-323.0,-617.0,-248.0,-371.0,-377.0,-356.0,-357.0,-357.0,-366.0,-255.0,-492.0,-367.0,-350.0,-330.0
Oman,0.0,-1.0,-1.0,-2.0,-3.0,-1.0,-2.0,0.0,-1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-6.0,-5.0,-9.0,-6.0,-8.0,-9.0,-8.0,-12.0,-11.0,-15.0,-15.0,-16.0,-16.0,-23.0,-33.0,-40.0,-52.0,-48.0,-60.0,-54.0,-57.0,-61.0,-63.0,-69.0,-63.0,-64.0,-65.0,-64.0,-70.0,-72.0,-77.0,-73.0,-69.0,-69.0,-69.0,-70.0,-68.0,-75.0,-71.0,-70.0,-71.0,-70.0,-71.0,-72.0,-75.0,-70.0,-70.0,-70.0,-68.0,-68.0,-66.0,-67.0,-71.0,-69.0,-69.0,-67.0,-67.0,-68.0,-71.0,-66.0,-66.0,-67.0,-66.0,-66.0,-66.0,-70.0,-65.0,-64.0,-65.0,-64.0,-66.0
Pakistan,4.0,4.0,9.0,6.0,3.0,-1.0,4.0,3.0,2.0,7.0,5.0,4.0,2.0,1.0,-3.0,4.0,9.0,6.0,4.0,-1.0,-3.0,1.0,5.0,11.0,9.0,-1.0,-1.0,5.0,7.0,1.0,5.0,0.0,-4.0,-10.0,-15.0,-19.0,-34.0,-44.0,-52.0,-57.0,-60.0,-65.0,-62.0,-62.0,-59.0,-60.0,-58.0,-58.0,-60.0,-58.0,-57.0,-53.0,-53.0,-53.0,-56.0,-57.0,-55.0,-56.0,-52.0,-53.0,-49.0,-49.0,-54.0,-50.0,-50.0,-46.0,-45.0,-45.0,-45.0,-49.0,-56.0,-57.0,-53.0,-50.0,-50.0,-50.0,-57.0,-51.0,-52.0,-47.0,-47.0,-44.0,-45.0,-49.0,-45.0,-46.0,-38.0,-37.0,-37.0
