sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Canton of Bern,2.0,7.0,-4.0,2.0,-4.0,0.0,-3.0,3.0,1.0,5.0,1.0,-1.0,-4.0,1.0,-3.0,7.0,-7.0,-2.0,-1.0,-11.0,-7.0,-5.0,7.0,-8.0,-9.0,-5.0,-10.0,-13.0,-22.0,-19.0,-8.0,-56.0,-61.0,-63.0,-68.0,-78.0,-82.0,-67.0,-68.0,-68.0,-68.0,-68.0,-73.0,-80.0,-70.0,-83.0,-82.0,-82.0,-76.0,-79.0,-74.0,-71.0,-69.0,-68.0,-68.0,-88.0,-76.0,-77.0,-85.0,-72.0,-72.0,-71.0,-72.0,-76.0,-72.0,-70.0,-71.0,-70.0,-70.0,-70.0,-75.0,-74.0,-57.0,-63.0,-62.0,-64.0,-64.0,-68.0,-67.0,-55.0,-62.0,-59.0,-54.0,-55.0,-57.0,-60.0,-34.0,-34.0,-38.0
Canton of Zug,-3.0,-3.0,-1.0,5.0,0.0,7.0,-2.0,10.0,45.0,5.0,3.0,-3.0,-4.0,2.0,-1.0,16.0,-4.0,2.0,-1.0,-8.0,-6.0,-4.0,15.0,-6.0,-6.0,-5.0,-8.0,-6.0,-14.0,-4.0,-7.0,-47.0,-51.0,-53.0,-58.0,-68.0,-75.0,-61.0,-61.0,-62.0,-63.0,-61.0,-61.0,-75.0,-65.0,-85.0,-85.0,-85.0,-76.0,-78.0,-64.0,-75.0,-66.0,-65.0,-62.0,-88.0,-68.0,0.0,-87.0,-67.0,-68.0,-67.0,-67.0,-68.0,0.0,-67.0,-67.0,-66.0,-66.0,-64.0,-66.0,0.0,-59.0,-63.0,-63.0,-61.0,-58.0,-63.0,0.0,-57.0,-63.0,-60.0,-50.0,-50.0,-49.0,0.0,-33.0,-30.0,-33.0
Capital Region of Denmark,-3.0,-7.0,-1.0,2.0,2.0,8.0,3.0,-7.0,0.0,0.0,-2.0,0.0,3.0,12.0,5.0,20.0,12.0,7.0,8.0,8.0,2.0,5.0,9.0,3.0,-1.0,4.0,-17.0,-34.0,-36.0,-40.0,-29.0,-30.0,-48.0,-45.0,-51.0,-56.0,-51.0,-43.0,-44.0,-43.0,-44.0,-48.0,-53.0,-48.0,-39.0,-33.0,-40.0,-43.0,-47.0,-49.0,-36.0,-27.0,-27.0,-23.0,-50.0,-67.0,-44.0,-48.0,-63.0,-28.0,-33.0,-32.0,-37.0,-45.0,-36.0,-25.0,-27.0,-27.0,-29.0,-37.0,-43.0,-37.0,-29.0,-30.0,-38.0,-44.0,-44.0,-50.0,-38.0,-33.0,-35.0,-35.0,-27.0,-64.0,-41.0,-36.0,-28.0,-32.0,-30.0
Caqueta,1.0,1.0,-4.0,-8.0,-7.0,-1.0,2.0,2.0,-6.0,-10.0,-17.0,-9.0,0.0,9.0,8.0,4.0,-3.0,-8.0,-5.0,-3.0,-1.0,6.0,17.0,-9.0,-11.0,-8.0,-6.0,-6.0,-4.0,-3.0,-11.0,-22.0,-27.0,-27.0,-22.0,-83.0,-77.0,-81.0,-63.0,-73.0,-74.0,-79.0,-78.0,-78.0,-75.0,-75.0,-73.0,-74.0,-73.0,-76.0,-75.0,-72.0,-73.0,-71.0,-77.0,-84.0,-75.0,-76.0,-71.0,-72.0,-72.0,-69.0,-71.0,-74.0,-88.0,-70.0,-71.0,-71.0,-69.0,-70.0,-70.0,-86.0,-68.0,-68.0,-66.0,-62.0,-69.0,-67.0,-85.0,-61.0,-62.0,-61.0,-58.0,-65.0,-62.0,-77.0,-60.0,-60.0,-66.0
Caraș-Severin County,4.0,15.0,8.0,8.0,5.0,-4.0,-6.0,0.0,15.0,0.0,8.0,4.0,-3.0,-14.0,-3.0,5.0,0.0,1.0,-10.0,1.0,-6.0,3.0,9.0,-4.0,-2.0,-9.0,-7.0,-18.0,-29.0,-29.0,-22.0,-27.0,-37.0,-42.0,-47.0,-54.0,-62.0,-57.0,-59.0,-67.0,-71.0,-70.0,-74.0,-77.0,-63.0,-64.0,-64.0,-65.0,-66.0,-71.0,-77.0,-60.0,-57.0,-58.0,-59.0,-58.0,-66.0,-73.0,-52.0,-53.0,-49.0,-51.0,-64.0,-76.0,-87.0,-88.0,-60.0,-55.0,-53.0,-56.0,-69.0,-71.0,-50.0,-48.0,-50.0,-50.0,-72.0,-68.0,-70.0,-51.0,-49.0,-51.0,-51.0,-50.0,-53.0,-48.0,-44.0,-39.0,-39.0
Cardiff,-15.0,-13.0,7.0,7.0,3.0,10.0,9.0,20.0,1.0,-10.0,-9.0,-2.0,2.0,-10.0,-4.0,-1.0,9.0,4.0,-1.0,-1.0,0.0,-8.0,-5.0,-4.0,-1.0,3.0,-6.0,-6.0,-9.0,-12.0,-7.0,-26.0,-35.0,-36.0,-44.0,-62.0,-66.0,-56.0,-76.0,-78.0,-78.0,-82.0,-87.0,-86.0,-80.0,-79.0,-80.0,-80.0,-80.0,-85.0,-84.0,-77.0,-78.0,-78.0,-75.0,-81.0,-84.0,-89.0,-81.0,-75.0,-77.0,-77.0,-83.0,-87.0,-83.0,-76.0,-77.0,-77.0,-76.0,-79.0,-83.0,-82.0,-76.0,-81.0,-79.0,-79.0,-80.0,-83.0,-83.0,-73.0,-77.0,-75.0,-73.0,-79.0,-82.0,-84.0,-73.0,-73.0,-76.0
Carinthia,3.0,17.0,11.0,9.0,4.0,7.0,5.0,9.0,9.0,8.0,6.0,-15.0,0.0,0.0,-2.0,-14.0,0.0,-8.0,0.0,0.0,-8.0,3.0,20.0,-1.0,-6.0,-5.0,-8.0,-18.0,-38.0,-58.0,-70.0,-80.0,-80.0,-80.0,-82.0,-88.0,-90.0,-79.0,-82.0,-81.0,-82.0,-81.0,-84.0,-85.0,-78.0,-77.0,-77.0,-76.0,-78.0,-83.0,-80.0,-71.0,-74.0,-73.0,-72.0,-76.0,-86.0,-84.0,-91.0,-58.0,-60.0,-59.0,-61.0,-69.0,-81.0,-54.0,-58.0,-57.0,-56.0,-59.0,-66.0,-72.0,-51.0,-56.0,-57.0,-43.0,-85.0,-38.0,-64.0,-25.0,-33.0,-32.0,-31.0,-33.0,-40.0,-59.0,-31.0,-38.0,-35.0
Carmarthenshire,-14.0,-9.0,10.0,7.0,5.0,10.0,5.0,-1.0,4.0,0.0,3.0,2.0,10.0,-2.0,5.0,8.0,7.0,5.0,0.0,4.0,5.0,2.0,6.0,-1.0,1.0,0.0,6.0,1.0,-3.0,-5.0,2.0,-13.0,-17.0,-16.0,-21.0,-37.0,-47.0,-37.0,-66.0,-69.0,-68.0,-71.0,-78.0,-81.0,-69.0,-69.0,-70.0,-68.0,-73.0,-78.0,-79.0,-69.0,-70.0,-70.0,-64.0,-74.0,-76.0,-92.0,-76.0,-67.0,-69.0,-68.0,-73.0,-78.0,-79.0,-68.0,-70.0,-70.0,-68.0,-70.0,-76.0,-76.0,-67.0,-73.0,-72.0,-70.0,-69.0,-74.0,-76.0,-65.0,-67.0,-65.0,-60.0,-71.0,-74.0,-75.0,-61.0,-63.0,-65.0
Carnikava Municipality,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Casanare,-8.0,-9.0,-5.0,-5.0,-8.0,-6.0,-4.0,-4.0,-6.0,-7.0,-9.0,-7.0,-5.0,-1.0,0.0,1.0,-3.0,-2.0,-3.0,0.0,1.0,2.0,13.0,-5.0,-5.0,-4.0,-5.0,-8.0,-2.0,-6.0,-8.0,-19.0,-19.0,-23.0,-30.0,-70.0,-73.0,-76.0,-62.0,-83.0,-82.0,-82.0,-83.0,-82.0,-78.0,-76.0,-76.0,-76.0,-79.0,-79.0,-80.0,-75.0,-72.0,-72.0,-81.0,-88.0,-80.0,-81.0,-71.0,-75.0,-73.0,-73.0,-73.0,-77.0,-80.0,-72.0,-73.0,-72.0,-72.0,-72.0,-73.0,-76.0,-66.0,-66.0,-67.0,-67.0,-73.0,-71.0,-75.0,-65.0,-63.0,-64.0,-64.0,-65.0,-64.0,-67.0,-61.0,-61.0,-61.0
