country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Nicaragua,6.0,4.0,2.0,0.0,-5.0,-1.0,2.0,0.0,-1.0,-1.0,-4.0,-5.0,-3.0,4.0,4.0,7.0,1.0,0.0,-4.0,1.0,2.0,2.0,2.0,-2.0,-1.0,-4.0,-5.0,0.0,2.0,-1.0,-2.0,-5.0,-9.0,-18.0,-23.0,-35.0,-45.0,-29.0,-32.0,-35.0,-36.0,-36.0,-40.0,-45.0,-29.0,-28.0,-29.0,-30.0,-27.0,-33.0,-40.0,-28.0,-30.0,-32.0,-55.0,-64.0,-56.0,-50.0,-31.0,-30.0,-27.0,-25.0,-26.0,-31.0,-36.0,-24.0,-25.0,-28.0,-28.0,-27.0,-31.0,-36.0,-27.0,-27.0,-26.0,-16.0,-38.0,-28.0,-34.0,-23.0,-24.0,-26.0,-27.0,-29.0,-34.0,-44.0,-31.0,-33.0,-36.0
Niger,4.0,3.0,2.0,0.0,-2.0,3.0,0.0,3.0,3.0,-2.0,2.0,-1.0,4.0,7.0,6.0,6.0,5.0,2.0,5.0,4.0,-1.0,2.0,0.0,0.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,-1.0,-1.0,-3.0,-7.0,-11.0,-11.0,-12.0,-14.0,-14.0,-17.0,-16.0,-26.0,-23.0,-22.0,-24.0,-27.0,-23.0,-24.0,-24.0,-22.0,-20.0,-20.0,-20.0,-19.0,-24.0,-23.0,-23.0,-27.0,-20.0,-18.0,-19.0,-23.0,-21.0,-19.0,-19.0,-19.0,-13.0,-9.0,-30.0,-28.0,-28.0,-26.0,-25.0,-25.0,-21.0,-30.0,-27.0,-26.0,-23.0,-20.0,-19.0,-17.0,-21.0,-23.0,-21.0,-19.0,-19.0,-16.0
Nigeria,79.0,-21.0,-94.0,-122.0,-187.0,-112.0,-61.0,23.0,-99.0,-181.0,-123.0,-138.0,4.0,19.0,27.0,5.0,-135.0,-56.0,-27.0,133.0,72.0,160.0,50.0,-40.0,-71.0,-162.0,-72.0,-8.0,37.0,-64.0,-105.0,-88.0,-113.0,-53.0,-67.0,-96.0,-293.0,-399.0,-556.0,-621.0,-608.0,-731.0,-758.0,-843.0,-770.0,-1019.0,-1219.0,-1063.0,-1166.0,-1163.0,-1101.0,-884.0,-795.0,-851.0,-864.0,-956.0,-859.0,-746.0,-957.0,-879.0,-831.0,-876.0,-928.0,-956.0,-884.0,-1009.0,-976.0,-954.0,-971.0,-995.0,-1010.0,-883.0,-989.0,-1015.0,-907.0,-964.0,-966.0,-927.0,-858.0,-713.0,-834.0,-724.0,-813.0,-791.0,-821.0,-810.0,-757.0,-756.0,-691.0
North Macedonia,6.0,10.0,8.0,8.0,4.0,-4.0,3.0,0.0,6.0,3.0,4.0,1.0,-5.0,-7.0,3.0,0.0,7.0,3.0,-2.0,9.0,8.0,2.0,17.0,1.0,-1.0,-7.0,-15.0,-25.0,-36.0,-63.0,-44.0,-49.0,-52.0,-56.0,-59.0,-64.0,-72.0,-66.0,-66.0,-66.0,-67.0,-66.0,-75.0,-74.0,-56.0,-60.0,-67.0,-60.0,-59.0,-74.0,-78.0,-51.0,-48.0,-63.0,-61.0,-58.0,-95.0,-94.0,-52.0,-57.0,-55.0,-52.0,-58.0,-95.0,-93.0,-95.0,-60.0,-60.0,-48.0,-51.0,-63.0,-93.0,-42.0,-45.0,-46.0,-42.0,-75.0,-75.0,-71.0,-40.0,-40.0,-50.0,-44.0,-43.0,-46.0,-53.0,-37.0,-38.0,-39.0
Norway,27.0,-32.0,43.0,42.0,88.0,18.0,20.0,-19.0,-4.0,20.0,14.0,23.0,27.0,25.0,-35.0,-59.0,-5.0,-5.0,-21.0,15.0,-17.0,-68.0,-73.0,-36.0,-53.0,-63.0,-52.0,-396.0,-565.0,-833.0,-467.0,-535.0,-557.0,-522.0,-532.0,-601.0,-783.0,-485.0,-534.0,-530.0,-511.0,-500.0,-568.0,-787.0,-440.0,-434.0,-430.0,-430.0,-416.0,-483.0,-710.0,-181.0,-139.0,-144.0,-976.0,-990.0,-518.0,-775.0,-967.0,-309.0,-345.0,-335.0,-286.0,-366.0,-501.0,-196.0,-234.0,-258.0,-256.0,-287.0,-344.0,-519.0,-194.0,-202.0,-178.0,-32.0,-892.0,-173.0,-462.0,-108.0,-149.0,-155.0,-152.0,-156.0,-208.0,-472.0,-116.0,-99.0,-105.0
Oman,-2.0,-5.0,-6.0,-6.0,-7.0,-6.0,-3.0,-3.0,0.0,0.0,0.0,-1.0,0.0,2.0,3.0,0.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-3.0,-5.0,-5.0,-6.0,-6.0,-7.0,-8.0,-9.0,-13.0,-16.0,-24.0,-33.0,-45.0,-40.0,-45.0,-36.0,-47.0,-51.0,-54.0,-61.0,-57.0,-52.0,-54.0,-52.0,-58.0,-60.0,-65.0,-59.0,-55.0,-57.0,-56.0,-56.0,-54.0,-66.0,-61.0,-58.0,-59.0,-59.0,-59.0,-60.0,-64.0,-60.0,-56.0,-57.0,-56.0,-54.0,-50.0,-52.0,-61.0,-58.0,-59.0,-58.0,-54.0,-55.0,-60.0,-55.0,-52.0,-54.0,-54.0,-53.0,-54.0,-58.0,-54.0,-50.0,-52.0,-52.0,-53.0
Pakistan,3.0,3.0,8.0,4.0,0.0,-3.0,1.0,1.0,2.0,8.0,4.0,0.0,0.0,-1.0,-3.0,3.0,10.0,6.0,2.0,-2.0,-5.0,-1.0,4.0,12.0,7.0,-6.0,-2.0,1.0,-3.0,-5.0,3.0,-4.0,-13.0,-18.0,-26.0,-34.0,-48.0,-59.0,-66.0,-68.0,-69.0,-73.0,-72.0,-70.0,-66.0,-68.0,-68.0,-66.0,-69.0,-67.0,-65.0,-60.0,-62.0,-64.0,-65.0,-66.0,-65.0,-65.0,-59.0,-61.0,-59.0,-57.0,-63.0,-60.0,-57.0,-51.0,-53.0,-53.0,-52.0,-55.0,-64.0,-63.0,-58.0,-57.0,-58.0,-57.0,-63.0,-59.0,-58.0,-51.0,-53.0,-52.0,-51.0,-56.0,-52.0,-51.0,-38.0,-38.0,-39.0
Panama,10.0,11.0,4.0,2.0,1.0,7.0,4.0,-7.0,-8.0,-21.0,-35.0,-14.0,2.0,5.0,14.0,16.0,4.0,1.0,-3.0,0.0,-2.0,2.0,1.0,-4.0,-5.0,-16.0,-17.0,-18.0,-22.0,-37.0,-29.0,-39.0,-46.0,-50.0,-50.0,-64.0,-69.0,-63.0,-70.0,-82.0,-81.0,-81.0,-82.0,-84.0,-80.0,-79.0,-85.0,-81.0,-85.0,-83.0,-95.0,-82.0,-79.0,-82.0,-78.0,-89.0,-96.0,-95.0,-81.0,-76.0,-79.0,-74.0,-77.0,-95.0,-95.0,-77.0,-73.0,-79.0,-75.0,-78.0,-95.0,-95.0,-76.0,-72.0,-76.0,-70.0,-83.0,-94.0,-94.0,-73.0,-71.0,-75.0,-71.0,-73.0,-93.0,-94.0,-71.0,-68.0,-72.0
Papua New Guinea,9.0,17.0,0.0,6.0,1.0,-1.0,6.0,10.0,11.0,-1.0,3.0,6.0,6.0,10.0,11.0,15.0,0.0,3.0,0.0,1.0,3.0,8.0,9.0,-2.0,2.0,7.0,7.0,8.0,11.0,11.0,-1.0,3.0,0.0,-7.0,-7.0,-5.0,-6.0,-4.0,-27.0,-21.0,-24.0,-25.0,-29.0,-20.0,-23.0,-23.0,-23.0,-28.0,-19.0,-18.0,-19.0,-14.0,-9.0,-10.0,-2.0,-36.0,-25.0,-22.0,-41.0,-9.0,-12.0,-13.0,-20.0,-26.0,-27.0,-22.0,-22.0,-23.0,-20.0,-16.0,-15.0,-13.0,-10.0,-10.0,-16.0,-15.0,-9.0,-9.0,-7.0,-14.0,-8.0,-2.0,-3.0,3.0,3.0,9.0,-2.0,0.0,-6.0
Paraguay,-3.0,-7.0,0.0,-3.0,-4.0,-1.0,-4.0,-2.0,-3.0,1.0,-7.0,-4.0,0.0,2.0,4.0,2.0,4.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,-1.0,-13.0,-14.0,-20.0,-27.0,-41.0,-35.0,-41.0,-48.0,-48.0,-48.0,-69.0,-74.0,-69.0,-72.0,-72.0,-70.0,-70.0,-70.0,-68.0,-55.0,-52.0,-59.0,-61.0,-64.0,-70.0,-73.0,-70.0,-66.0,-67.0,-75.0,-87.0,-75.0,-70.0,-60.0,-57.0,-60.0,-57.0,-58.0,-62.0,-65.0,-54.0,-54.0,-55.0,-55.0,-56.0,-59.0,-64.0,-51.0,-49.0,-50.0,-43.0,-70.0,-56.0,-60.0,-42.0,-43.0,-43.0,-41.0,-44.0,-47.0,-54.0,-38.0,-44.0,-35.0
